P-iqb,P-eletrico,P-agua,P-gas,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
0.08939369,0.64911455,0.26149178,0.0,18.0,1.0,8.48332170010198e-07,0.14792315411988932,0.9957046924634061,0.9421973903617542,0.9387663161120615,0.9368996318944612,0.9359523331337992,0.6996349094882203,4.897444366417542,[ 4.8974 -0.2131 -0.3012 -0.9539],0.21310722720646014,0.953914893617021,0.3011572308434147,1.468179351666896
0.08939369,0.64911455,0.26149178,0.0,19.0,1.0,4.0736503604871574e-06,0.23649105941710624,1.0,0.9238469351406199,0.9651428316528582,0.9650379164267348,0.9649291661134376,0.7222074260573025,5.0554519824011175,[ 5.0555 -0.1815 -0.2896 -0.9027],0.18150000000000005,0.9027021276595744,0.28960540240306154,1.3738075300626358
0.08939369,0.64911455,0.26149178,0.0,20.0,1.0,0.00014377989735597815,0.2819576932064653,1.0,0.9584481679682394,0.9564254026559792,0.9554168319696399,0.9549151530703647,0.7296152898240064,5.107307028768044,[ 5.1073 -0.1737 -0.2789 -0.8385],0.17368585684195328,0.838531914893617,0.2789091431492605,1.2911269148848308
0.08939369,0.64911455,0.26149178,0.0,21.0,1.0,0.0035408725621966326,0.9250627768781376,1.0,0.9847731989556225,0.982784748742229,0.9818007069050037,0.9813251935253609,0.8370410710812214,5.85928749756855,[ 5.8593 -0.2798 -0.2606 -0.754 ],0.2798119592787516,0.754,0.26064206464382395,1.2944540239225755
0.08939369,0.64911455,0.26149178,0.0,22.0,1.0,0.00844004407705036,0.9794289923625291,1.0,0.9736254830055829,1.0,0.9707731311510496,0.9996581660730794,0.8474179738098988,5.931925816669292,[ 5.9319 -0.2576 -0.2486 -0.7022],0.25755836821526207,0.7021702127659574,0.248559446286873,1.2082880272680925
0.08939369,0.64911455,0.26149178,0.0,23.0,1.0,0.04900002459251624,0.8519872608922863,1.0,0.9906907452858411,0.990535954792133,0.9905292069973795,0.9905115652882504,0.8376078225497724,5.863254757848407,[ 5.8633 -0.1815 -0.2452 -0.68  ],0.18150000000000005,0.6799574468085107,0.24521489828933055,1.1066723450978413
0.08939369,0.64911455,0.26149178,0.0,24.0,1.0,0.36787779209031557,0.36787779209031557,0.36787779209031557,[-4.6321 -5.1786 -5.     -5.2468],0.17860557496619697,0.2468085106382978,4.3817801661680254e-07,0.4254145237825114
0.08939369,0.64911455,0.26149178,0.0,25.0,1.0,0.36787802399192054,0.36787802399192054,0.36787802399192054,[-4.6321 -5.0799 -5.     -5.2468],0.07987796120071591,0.2468085106382978,4.3817801661680254e-07,0.3266869100170303
0.08939369,0.64911455,0.26149178,0.0,26.0,1.0,0.36787823871575787,0.36787823871575787,0.36787823871575787,[-4.6321 -5.0238 -5.     -5.2098],0.023806007414865556,0.20978723404255314,4.3817801661680254e-07,0.23359367963543531
0.08939369,0.64911455,0.26149178,0.0,27.0,1.0,0.3678784362617973,0.6574612821185933,0.9711070476627474,0.9759943316442572,0.9599343846607946,0.9592642882252755,0.9589475919586496,0.835798194647445,5.8505873625321145,[ 5.8506 -0.1083 -0.1658 -0.4646],0.10831581282955158,0.4646170212765957,0.16578555007087953,0.7387183841770268
0.08939369,0.64911455,0.26149178,0.0,28.0,1.0,0.3678786166300113,0.6715402314215229,0.9529680482806626,0.9581927924956849,0.9594911459533442,0.9599648087207747,0.9601596938429046,0.8328850481921294,5.830195337344906,[ 5.8302 -0.1155 -0.1624 -0.414 ],0.11547283074275087,0.4140212765957447,0.1624272881905787,0.6919213955290743
0.08939369,0.64911455,0.26149178,0.0,29.0,1.0,0.36787877982037465,0.7591334476860064,0.929549037713934,0.9397571495929189,0.9377884645873653,0.9383379714653187,0.9385857491363097,0.8301472285717468,5.811030600002228,[ 5.811  -0.1173 -0.1524 -0.356 ],0.11726919923832704,0.3560212765957446,0.15243292424468902,0.6257234000787607
0.08939369,0.64911455,0.26149178,0.0,30.0,1.0,0.36787892583286436,0.44475407236449727,0.9236663227402052,0.9106874982332008,0.9251631040437822,0.9247556866964283,0.9248202386844274,0.7745322640850578,5.421725848595405,[ 5.4217  0.     -0.1542 -0.3579],0.0,0.35787234042553184,0.1541802974436884,0.5120526378692203
0.076140985,0.0,0.0,0.923859,15.0,1.0,1.8208521226772198e-06,0.004577944661171466,0.7662662772575597,0.36787929749455256,0.49358168800841473,0.3678792133728089,0.45984396960276325,0.35143288732134187,2.4600302112493933,[ 2.46   -0.3026 -0.2591 -0.8601],0.30257486803057654,0.860127659574468,0.2590527907899457,1.42175531839499
0.076140985,0.0,0.0,0.923859,16.0,1.0,5.2211620518212075e-06,0.018246490188729116,0.8820846904306111,0.3678793076784455,0.8535614790797766,0.36787928907550155,0.8441325955333323,0.47625558187834977,3.3337890731484485,[ 3.3338 -0.2747 -0.2591 -0.8484],0.2747140713572164,0.8484042553191489,0.2590589087502614,1.3821772354266266
