Pesos,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
10,25.0,1.0,0.0001109571316831523,0.8046370497880058,0.16215954305836083,0.03603420255951513,0.07927298317562226,0.09536513119145337,0.1004483689075318,0.18257546225888174,1.2780282358121722,[ 1.278  -1.0919],0.23771851769929508,0.5207659574468084,0.3333728822559317,1.0918573574020352
10,26.0,1.0,0.0009098559721662239,0.6383434043770849,0.04468623338931343,0.08091770953292667,0.09617283144642756,0.0989604226652852,0.10720135994745017,0.15245597390437915,1.067191817330654,[ 1.0672 -1.0105],0.2030910188468451,0.47202127659574467,0.335377364821251,1.0104896602638407
10,27.0,1.0,0.006372527055707537,0.34365274148814806,0.04199016105893329,0.08260272749637615,0.10255281292221165,0.10526330585686772,0.10589898847364439,0.11261903776455554,0.7883332643518888,[ 0.7883 -0.9327],0.168249677352398,0.42697872340425536,0.3374354625338283,0.9326638632904817
10,28.0,1.0,0.025210685133236613,0.15694275199247124,0.10206252832801024,0.10286581844725022,0.1035997791976916,0.10428431211085366,0.10452540022807648,0.09992732506251287,0.69949127543759,[ 0.6995 -0.853 ],0.14080464812414425,0.37268085106382987,0.3394667526727766,0.8529522518607507
10,29.0,1.0,0.08725038445367617,0.06215451404398996,0.09033964721360913,0.10257240469075385,0.10391603242350257,0.10443535973038634,0.10462071076782684,0.09361272190339212,0.6552890533237449,[ 0.6553 -0.7668],0.10971963682916529,0.31961702127659575,0.3374354625338283,0.7667721206395893
10,30.0,1.0,0.13204252490014273,0.06505977247995094,0.09477002039653239,0.10188220801637676,0.10379827315724298,0.10439351882348868,0.10465268754411114,0.10094271504540653,0.7065990053178457,[ 0.7066 -0.6923],0.082361862966213,0.2684042553191489,0.34149804281172486,0.6922641610970868
0.80.2,15.0,1.0,1.1745120248653568e-21,0.00014157786652125833,0.7680440969981485,0.7523709503325334,0.0028629418443713475,0.05955761396674938,0.10035023008031638,0.24047534444123428,1.68332741108864,[ 1.6833 -1.8024],0.4620617010229082,1.006978723404255,0.3333728822559317,1.802413306683095
0.80.2,16.0,1.0,4.907265296461529e-19,0.0017524975619368128,0.8111892247696075,0.3930562635244806,0.0246753306635049,0.07671923643405258,0.11099730751406385,0.20262712292394944,1.4183898604676461,[ 1.4184 -1.7317],0.4201945646373172,0.976127659574468,0.33540417239488,1.7317263966066652
0.80.2,17.0,1.0,1.3675305647959148e-16,0.014165323023173332,0.8304586450217011,0.10598171248821818,0.07832684059929358,0.10614595876016565,0.11452422472088546,0.1785146720876339,1.2496027046134375,[ 1.2496 -1.6643],0.3896499878343878,0.9372553191489361,0.3374354625338283,1.6643407695171522
0.80.2,18.0,1.0,2.541850363712224e-14,0.07016505896905512,0.8432941707070675,0.028899770041351476,0.07887834105567731,0.10951927557681083,0.11532646768732661,0.17801186914818776,1.2460830840373143,[ 1.2461 -1.5882],0.362483167014506,0.8903617021276595,0.33540417239488,1.5882490415370454
0.80.2,19.0,1.0,3.1512173111628133e-12,0.24635242102096122,0.8578157287677792,0.008362966167503807,0.07226651129195967,0.10774185336105108,0.1155537317898114,0.20115617320031678,1.4080932124022174,[ 1.4081 -1.5156],0.33551594755363934,0.8447021276595744,0.33540417239488,1.5156222476080938
