P-iqb,P-eletrico,P-agua,P-gas,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
0.0,0.0,0.8929041,0.10709593,25.0,1.0,0.20645994363743453,0.29915336719100055,0.8120960839958083,0.5732078615526055,0.588439924275419,0.6846104365159108,0.6200761520410091,0.5405776813155982,3.7840437692091875,[ 3.784  -0.2107 -0.1729 -0.4486],0.21068396265686712,0.4485744680851063,0.17292684541522854,0.832185276157202
0.0,0.0,0.8929041,0.10709593,26.0,1.0,0.30963889942108236,0.6520707025513394,0.6635936390884695,0.5859140197392138,0.6595199245437928,0.604771760944226,0.6581572461650519,0.5905237417790251,4.133666192453176,[ 4.1337 -0.181  -0.1613 -0.4128],0.18101608503717398,0.4127872340425531,0.16128144780025627,0.7550847668799834
0.0,0.0,0.8929041,0.10709593,27.0,1.0,0.39663187110456444,0.6492121736443388,0.6009541698344085,0.6403254272868422,0.5935799506006729,0.6349850456974422,0.5912928806637316,0.5867116455474287,4.106981518832001,[ 4.107  -0.1671 -0.1432 -0.3647],0.16710721286866628,0.3646595744680851,0.14315305309699217,0.6749198404337435
0.0,0.0,0.8929041,0.10709593,28.0,1.0,0.531883113818973,0.6854715592571108,0.525823541980899,0.5216813900259787,0.5514933683240062,0.5513626396940078,0.5511017525920927,0.5598310522418669,3.918817365693068,[ 3.9188 -0.1532 -0.1258 -0.3153],0.15315450731769703,0.3152978723404255,0.1258282710314198,0.5942806506895424
0.0,0.0,0.8929041,0.10709593,29.0,1.0,0.34471279130802124,0.7786183726388982,0.5843165444563962,0.5837596175081411,0.6266657824602774,0.6283536945534788,0.6284817441079715,0.5964155067190264,4.174908547033185,[ 4.1749 -0.1419 -0.112  -0.2789],0.14194156989543108,0.2788936170212766,0.11204523665250458,0.5328804235692122
0.0,0.0,0.8929041,0.10709593,30.0,1.0,0.0413820634048262,0.8900721207338291,0.7617220543735865,0.7084582887574927,0.7465827971013259,0.7141263920739916,0.7475887835185682,0.6585617857090886,4.60993249996362,[ 4.6099 -0.1293 -0.1085 -0.2548],0.12928596858777494,0.2548297872340426,0.10847195201500921,0.49258770783682676
0.049496505,0.0,0.95050347,0.0,15.0,1.0,1.317577701656268e-07,0.010419568592441574,0.43481328052046914,0.7641049489016417,0.8249161527074603,0.8198121286300902,0.8172181138040533,0.524469189273418,3.6712843249139264,[ 3.6713 -0.5457 -0.363  -0.9909],0.5457147367489942,0.9909361702127658,0.3629762556214128,1.8996271625831729
0.049496505,0.0,0.95050347,0.0,16.0,1.0,4.753863494188449e-07,0.020161969702267572,0.5415119802812041,0.8187537779657548,0.8009831766923476,0.7943103690928822,0.7910873172776094,0.5381155809140593,3.766809066398415,[ 3.7668 -0.5248 -0.3586 -0.9453],0.5248152872019455,0.9452765957446808,0.35861029504933645,1.8287021779959627
0.049496505,0.0,0.95050347,0.0,17.0,1.0,0.0009162651460965926,0.29662285797818194,0.6376954771096263,0.6775246210344108,0.670305138182529,0.6670778833399543,0.665543530910844,0.5165265391002347,3.6156857737016432,[ 3.6157 -0.3933 -0.2881 -0.8854],0.3932867206782639,0.8854255319148936,0.28806458979068245,1.56677684238384
0.049496505,0.0,0.95050347,0.0,18.0,1.0,0.0026974149709609965,0.4268272967285188,0.8237256095115506,0.6348269240838371,0.8216334760897095,0.6259264915839854,0.8178735759498881,0.5933586841312072,4.15351078891845,[ 4.1535 -0.3666 -0.2882 -0.8601],0.3666062793157148,0.8601276595744679,0.28818297841358853,1.5149169173037713
0.049496505,0.0,0.95050347,0.0,19.0,1.0,0.0005613741257640244,0.28833319575538124,0.6022322692697285,0.5988033502510484,0.6900123386171924,0.6877455749742697,0.6890303412614373,0.5081026348935459,3.556718444254821,[ 3.5567 -0.2105 -0.2796 -0.8169],0.2104559077684715,0.8169361702127658,0.27956609134934873,1.306958169330586
0.049496505,0.0,0.95050347,0.0,20.0,1.0,0.0006720957914415498,0.3753982253228128,0.8229526479905631,0.5706839098436264,0.7632882097732184,0.6557476877305753,0.6546948851583344,0.5490625230872246,3.8434376616105723,[ 3.8434 -0.1865 -0.2676 -0.7633],0.1865296341731162,0.7632553191489361,0.2676432758495669,1.2174282291716192
0.049496505,0.0,0.95050347,0.0,21.0,1.0,0.001444160432872493,0.17888224399329347,0.8441950494646727,0.7153145465555645,0.7164997655358053,0.7174661831091756,0.7179376121449722,0.5559627944623367,3.8917395612363563,[ 3.8917 -0.2796 -0.2074 -0.6331],0.2795909179749455,0.6330638297872341,0.20737915395720452,1.120033901719384
0.049496505,0.0,0.95050347,0.0,22.0,1.0,0.006554173996154946,0.31037105404197346,0.8883949950240492,0.7782707039158003,0.7800019569540694,0.8574067584211138,0.7813197896759103,0.6289027760041531,4.4023194320290715,[ 4.4023 -0.2578 -0.2072 -0.6065],0.2578272923201013,0.606531914893617,0.20720228784602915,1.0715614950597474
0.049496505,0.0,0.95050347,0.0,23.0,1.0,0.014967421802816289,0.7067473731700462,0.915450861040999,0.8386263673391422,0.8359743826195537,0.8349230690126775,0.8343767693157428,0.7115808920429967,4.981066244300977,[ 4.9811 -0.2357 -0.2027 -0.5763],0.2357383581965092,0.5762978723404255,0.20274865541540008,1.0147848859523347
0.049496505,0.0,0.95050347,0.0,24.0,1.0,0.09617766389742173,0.9285881058775828,0.8285371460408412,0.8828852984253382,0.8144349017386486,0.880402800154788,0.8805015638350328,0.7587896399956647,5.311527479969653,[ 5.3115 -0.2205 -0.2042 -0.5411],0.22048535339953848,0.541127659574468,0.20424433262331054,0.965857345597317
